task,"('google/gemma-3-270m-it', 'Base')","('google/gemma-3-270m-it', 'Best Skip Layer')","('google/gemma-3-270m-it', 'Performance')","('google/gemma-3-270m-it', 'Candidate Count')","('google/gemma-3-1b-it', 'Base')","('google/gemma-3-1b-it', 'Best Skip Layer')","('google/gemma-3-1b-it', 'Performance')","('google/gemma-3-1b-it', 'Candidate Count')","('meta-llama/Llama-3.2-1B-Instruct', 'Base')","('meta-llama/Llama-3.2-1B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-1B-Instruct', 'Performance')","('meta-llama/Llama-3.2-1B-Instruct', 'Candidate Count')","('meta-llama/Llama-3.2-3B-Instruct', 'Base')","('meta-llama/Llama-3.2-3B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-3B-Instruct', 'Performance')","('meta-llama/Llama-3.2-3B-Instruct', 'Candidate Count')","('Qwen/Qwen3-1.7B', 'Base')","('Qwen/Qwen3-1.7B', 'Best Skip Layer')","('Qwen/Qwen3-1.7B', 'Performance')","('Qwen/Qwen3-1.7B', 'Candidate Count')","('Qwen/Qwen3-4B', 'Base')","('Qwen/Qwen3-4B', 'Best Skip Layer')","('Qwen/Qwen3-4B', 'Performance')","('Qwen/Qwen3-4B', 'Candidate Count')","('Qwen/Qwen3-8B', 'Base')","('Qwen/Qwen3-8B', 'Best Skip Layer')","('Qwen/Qwen3-8B', 'Performance')","('Qwen/Qwen3-8B', 'Candidate Count')","('allenai/OLMo-2-0425-1B-Instruct', 'Base')","('allenai/OLMo-2-0425-1B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-0425-1B-Instruct', 'Performance')","('allenai/OLMo-2-0425-1B-Instruct', 'Candidate Count')","('allenai/OLMo-2-1124-7B-Instruct', 'Base')","('allenai/OLMo-2-1124-7B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-1124-7B-Instruct', 'Performance')","('allenai/OLMo-2-1124-7B-Instruct', 'Candidate Count')"
global_mmlu_full_ar_prehistory,26.85%,17,+2.78%,3,37.35%,24,+1.85%,4,36.42%,15,+0.31%,1,42.28%,18,+2.47%,5,41.67%,27,-0.31%,0,44.75%,29,+2.16%,9,54.01%,35,+3.09%,12,30.56%,12,-0.62%,0,38.89%,22,+0.93%,3
global_mmlu_full_ar_professional_law,25.29%,8,+1.83%,2,29.34%,19,+0.13%,2,30.38%,14,+0.52%,1,33.25%,22,+2.28%,8,32.53%,25,+1.04%,8,39.37%,31,0.00%,0,41.66%,25,+0.78%,4,24.84%,12,+1.69%,6,31.16%,25,+0.65%,3
global_mmlu_full_ar_world_religions,22.22%,0,+9.94%,16,32.16%,16,+4.09%,4,40.35%,14,+1.17%,1,44.44%,17,0.00%,0,42.11%,13,+2.34%,2,52.63%,32,+1.17%,2,64.33%,22,+3.51%,5,27.49%,0,+4.68%,3,34.50%,9,+2.92%,7
global_mmlu_full_ar_business_ethics,27.00%,1,+7.00%,9,36.00%,20,+4.00%,3,35.00%,14,+8.00%,5,45.00%,12,+5.00%,4,47.00%,22,+9.00%,8,61.00%,20,+2.00%,4,64.00%,27,+5.00%,8,26.00%,4,+6.00%,5,37.00%,9,+1.00%,4
global_mmlu_full_ar_clinical_knowledge,27.17%,11,+3.02%,2,39.62%,21,+1.13%,2,36.23%,15,+2.64%,2,43.40%,24,+3.77%,5,43.40%,26,+3.40%,6,56.60%,34,+0.75%,1,58.87%,30,+1.89%,6,25.66%,7,+3.40%,9,34.72%,6,+1.51%,4
global_mmlu_full_ar_college_medicine,20.81%,11,+12.72%,14,34.68%,24,+3.47%,4,33.53%,15,0.00%,0,41.62%,24,+2.89%,3,39.88%,25,+1.73%,3,51.45%,25,+2.89%,4,58.38%,33,+1.73%,5,21.97%,8,+8.09%,10,29.48%,28,+4.62%,8
global_mmlu_full_ar_global_facts,25.00%,14,+9.00%,6,30.00%,20,+9.00%,7,32.00%,8,+6.00%,7,37.00%,21,+3.00%,4,32.00%,13,+4.00%,3,19.00%,10,+9.00%,30,37.00%,35,+6.00%,3,21.00%,6,+14.00%,12,26.00%,3,+6.00%,17
global_mmlu_full_ar_human_aging,35.43%,12,+2.24%,1,33.18%,15,+4.04%,6,37.22%,7,+1.35%,2,44.39%,25,+2.69%,6,39.91%,16,+4.48%,10,54.26%,26,+3.14%,4,58.30%,25,0.00%,0,30.94%,5,+6.73%,14,42.60%,26,+4.04%,11
global_mmlu_full_ar_management,26.21%,11,+11.65%,6,33.01%,15,+5.83%,6,44.66%,15,-4.85%,0,50.49%,23,+2.91%,3,38.83%,10,+2.91%,6,54.37%,20,+3.88%,7,66.02%,22,+2.91%,5,27.18%,8,+9.71%,5,37.86%,22,+0.97%,1
global_mmlu_full_ar_marketing,23.93%,3,+10.68%,14,46.58%,15,+2.14%,2,44.87%,14,+0.85%,2,59.40%,20,-0.43%,0,61.11%,20,+2.56%,5,72.22%,25,0.00%,0,74.36%,34,+2.14%,10,31.20%,14,+1.71%,2,48.29%,25,0.00%,0
global_mmlu_full_ar_medical_genetics,22.00%,13,+10.00%,17,37.00%,2,+2.00%,2,28.00%,11,+3.00%,5,41.00%,17,+6.00%,9,41.00%,13,+4.00%,3,46.00%,12,+5.00%,8,57.00%,34,+1.00%,1,32.00%,14,+5.00%,1,34.00%,30,+10.00%,19
global_mmlu_full_ar_miscellaneous,27.71%,16,+1.53%,5,36.53%,15,+0.77%,4,38.83%,15,-0.26%,0,52.75%,22,-1.02%,0,44.44%,17,+0.77%,8,54.66%,34,+1.92%,6,65.64%,32,+0.64%,4,29.50%,3,+0.38%,2,37.80%,29,+1.79%,4
global_mmlu_full_ar_nutrition,22.88%,11,+5.88%,13,41.18%,22,+1.31%,5,44.44%,14,+1.96%,1,50.00%,20,+1.63%,3,51.63%,26,+1.31%,4,58.50%,13,+2.61%,4,70.92%,26,+0.33%,2,31.70%,12,+4.25%,2,44.12%,19,+3.59%,7
global_mmlu_full_ar_professional_accounting,25.18%,3,+3.55%,5,29.08%,20,+3.90%,2,31.56%,14,+2.13%,2,36.52%,16,+1.77%,4,35.11%,20,+1.06%,2,33.69%,8,+3.90%,9,41.13%,25,+4.26%,9,29.43%,11,0.00%,0,31.56%,27,+2.13%,10
global_mmlu_full_ar_professional_medicine,19.85%,5,+25.74%,8,23.16%,13,+18.38%,6,22.79%,13,+9.19%,5,29.41%,18,+7.72%,12,32.72%,18,+5.15%,4,52.21%,34,+2.21%,1,58.82%,20,+0.37%,2,23.53%,8,+11.03%,4,26.10%,25,+4.41%,11
global_mmlu_full_ar_virology,28.31%,12,+5.42%,4,34.94%,19,+2.41%,4,39.16%,14,+1.81%,1,43.98%,21,+1.20%,5,37.95%,11,+6.63%,8,39.16%,4,+4.22%,15,45.78%,22,+3.01%,5,32.53%,11,+2.41%,2,36.75%,26,+3.01%,9
global_mmlu_full_ar_econometrics,24.56%,4,+3.51%,8,21.93%,2,+4.39%,20,22.81%,1,+7.02%,11,24.56%,15,+6.14%,20,37.72%,7,+3.51%,2,39.47%,20,+1.75%,3,48.25%,22,+5.26%,7,21.05%,10,+13.16%,13,21.93%,1,+7.02%,22
global_mmlu_full_ar_high_school_geography,24.75%,11,+10.10%,5,48.99%,19,0.00%,0,35.86%,11,+2.02%,2,50.51%,17,+1.01%,4,44.95%,24,+2.53%,4,57.58%,34,+3.03%,4,69.70%,31,+3.03%,5,28.28%,8,+6.57%,3,35.35%,31,+0.51%,1
global_mmlu_full_ar_high_school_government_and_politics,16.58%,11,+18.65%,17,44.04%,18,+1.55%,2,34.20%,13,-1.04%,0,45.08%,20,+4.15%,6,39.90%,26,+1.55%,3,61.66%,34,+2.07%,4,67.88%,26,+1.55%,5,22.28%,8,+12.44%,6,33.16%,15,+6.22%,10
global_mmlu_full_ar_high_school_macroeconomics,22.82%,11,+12.31%,8,36.41%,21,+1.03%,3,34.36%,13,+0.51%,1,41.54%,24,+0.77%,1,44.10%,25,+0.51%,1,55.90%,20,+2.56%,4,61.79%,22,+1.79%,9,29.74%,8,+5.38%,3,27.44%,7,+1.79%,8
global_mmlu_full_ar_high_school_microeconomics,22.27%,11,+13.45%,7,38.24%,15,+4.62%,4,36.13%,10,+1.26%,2,41.18%,22,0.00%,0,42.44%,26,+2.10%,5,60.08%,35,+0.42%,1,72.69%,34,+0.42%,1,32.77%,12,+4.62%,1,34.45%,15,+2.52%,1
global_mmlu_full_ar_high_school_psychology,22.57%,11,+12.11%,7,38.72%,21,+1.10%,3,32.84%,15,-0.73%,0,40.55%,24,+2.20%,8,44.95%,18,+1.28%,4,61.65%,35,+0.92%,2,71.01%,25,+1.83%,4,26.97%,8,+5.69%,3,31.01%,15,+2.75%,7
global_mmlu_full_ar_human_sexuality,21.37%,3,+7.63%,16,40.46%,19,+1.53%,2,36.64%,11,0.00%,0,48.09%,19,+1.53%,3,48.85%,23,+0.76%,1,57.25%,26,0.00%,0,61.07%,29,+1.53%,7,29.01%,15,+4.58%,3,31.30%,13,+6.87%,11
global_mmlu_full_ar_professional_psychology,24.51%,8,+3.92%,13,30.88%,20,+2.78%,3,27.61%,1,+1.47%,3,35.95%,17,+0.65%,4,37.58%,25,+1.47%,4,47.71%,28,+1.31%,3,53.92%,33,+1.14%,6,29.08%,14,-1.14%,0,30.72%,22,+1.14%,7
global_mmlu_full_ar_public_relations,28.18%,16,+8.18%,2,30.91%,15,+3.64%,2,33.64%,9,+2.73%,2,39.09%,18,+3.64%,10,38.18%,19,+4.55%,13,49.09%,25,+0.91%,1,56.36%,21,+3.64%,4,25.45%,5,+9.09%,13,39.09%,27,+1.82%,3
global_mmlu_full_ar_security_studies,19.59%,11,+17.96%,10,42.04%,18,+1.63%,5,38.78%,13,+0.82%,1,54.29%,19,+3.27%,3,55.92%,27,-0.41%,0,64.49%,35,+0.41%,1,71.02%,25,-0.82%,0,31.02%,8,+4.90%,4,50.20%,24,+0.41%,1
global_mmlu_full_ar_sociology,24.38%,11,+2.49%,9,49.25%,17,+2.99%,3,42.79%,14,+3.98%,1,57.71%,22,+1.99%,5,52.74%,26,+3.48%,3,68.66%,25,+2.49%,3,69.15%,31,+1.49%,6,25.37%,12,+5.47%,4,39.80%,19,+2.99%,6
global_mmlu_full_ar_us_foreign_policy,32.00%,13,0.00%,0,56.00%,20,+1.00%,2,55.00%,15,-1.00%,0,62.00%,24,0.00%,0,56.00%,22,+5.00%,7,65.00%,28,+1.00%,1,72.00%,35,+2.00%,4,32.00%,12,+5.00%,2,55.00%,24,+2.00%,1
global_mmlu_full_ar_abstract_algebra,24.00%,17,+11.00%,4,24.00%,11,+10.00%,9,25.00%,4,+9.00%,10,38.00%,23,0.00%,0,36.00%,25,+3.00%,3,34.00%,7,+6.00%,15,41.00%,28,+5.00%,12,33.00%,15,+2.00%,1,36.00%,5,+3.00%,5
global_mmlu_full_ar_anatomy,25.19%,8,+8.15%,5,36.30%,25,+2.22%,1,31.85%,11,+4.44%,2,36.30%,18,+2.96%,8,35.56%,23,+2.22%,3,36.30%,20,+5.19%,16,47.41%,28,+2.22%,2,20.00%,3,+6.67%,13,27.41%,12,+8.15%,16
global_mmlu_full_ar_astronomy,21.71%,8,+11.84%,7,31.58%,20,+5.92%,5,34.21%,11,+4.61%,2,38.16%,18,+4.61%,6,47.37%,23,+2.63%,6,59.87%,28,+2.63%,6,65.13%,22,+2.63%,11,28.29%,12,+2.63%,2,32.89%,10,+2.63%,4
global_mmlu_full_ar_college_biology,25.00%,8,+2.08%,7,30.56%,15,+3.47%,5,25.69%,11,+5.56%,9,34.03%,20,+4.86%,7,37.50%,26,+2.78%,4,59.03%,26,-0.69%,0,63.89%,28,+2.78%,1,27.78%,12,+3.47%,4,23.61%,0,+5.56%,17
global_mmlu_full_ar_college_chemistry,19.00%,11,+23.00%,10,33.00%,19,+5.00%,3,25.00%,13,+11.00%,5,39.00%,19,+3.00%,2,39.00%,23,+3.00%,3,46.00%,26,+5.00%,13,56.00%,17,+5.00%,7,26.00%,8,+6.00%,4,24.00%,2,+12.00%,22
global_mmlu_full_ar_college_computer_science,20.00%,11,+13.00%,14,34.00%,19,+1.00%,2,34.00%,15,-1.00%,0,33.00%,18,+7.00%,9,35.00%,18,+10.00%,7,50.00%,33,+3.00%,6,52.00%,25,+5.00%,12,26.00%,8,+5.00%,4,33.00%,15,+4.00%,11
global_mmlu_full_ar_college_mathematics,18.00%,11,+14.00%,17,29.00%,16,+1.00%,1,28.00%,15,+1.00%,1,29.00%,1,+6.00%,8,33.00%,25,+5.00%,7,37.00%,7,+7.00%,13,44.00%,29,+8.00%,9,32.00%,12,-1.00%,0,33.00%,1,+3.00%,5
global_mmlu_full_ar_college_physics,26.47%,11,+10.78%,5,20.59%,0,+11.76%,15,23.53%,10,+5.88%,5,19.61%,1,+12.75%,23,33.33%,25,+2.94%,6,38.24%,22,+4.90%,7,46.08%,27,+10.78%,13,25.49%,8,+9.80%,2,20.59%,11,+13.73%,18
global_mmlu_full_ar_computer_security,28.00%,4,+3.00%,5,35.00%,24,+5.00%,8,45.00%,15,+3.00%,1,45.00%,8,+7.00%,8,52.00%,18,+2.00%,2,62.00%,25,+5.00%,5,72.00%,26,0.00%,0,29.00%,11,+1.00%,2,45.00%,29,+1.00%,1
global_mmlu_full_ar_conceptual_physics,25.11%,16,+4.68%,13,33.19%,21,+0.43%,1,31.91%,12,+2.55%,4,33.62%,13,+3.83%,8,41.28%,16,+0.85%,3,55.74%,28,+1.70%,6,65.11%,29,+2.13%,6,31.06%,3,+5.11%,8,29.79%,14,+2.55%,6
global_mmlu_full_ar_electrical_engineering,23.45%,17,+8.97%,12,40.00%,20,+4.14%,5,39.31%,14,+0.69%,1,45.52%,22,+2.76%,5,46.90%,22,+2.07%,3,54.48%,8,+0.69%,2,59.31%,25,+2.07%,4,31.72%,13,+1.38%,2,39.31%,8,+4.14%,16
global_mmlu_full_ar_elementary_mathematics,23.54%,8,+3.17%,8,29.89%,25,+1.59%,1,27.78%,2,+1.32%,2,34.92%,20,+1.32%,3,47.62%,26,+0.79%,3,55.82%,22,+2.12%,2,66.67%,25,+1.32%,3,24.34%,5,+4.23%,14,31.48%,10,+1.59%,5
global_mmlu_full_ar_high_school_biology,23.23%,11,+8.06%,11,38.71%,21,0.00%,0,36.77%,14,+0.32%,1,44.84%,17,+1.94%,7,45.16%,18,+3.23%,6,62.90%,34,+1.94%,4,74.19%,22,0.00%,0,29.03%,12,+3.55%,3,31.29%,19,+3.87%,12
global_mmlu_full_ar_high_school_chemistry,27.09%,17,+5.91%,3,28.57%,20,+6.40%,5,33.00%,11,+5.42%,1,47.78%,18,-1.97%,0,44.33%,18,+1.48%,2,53.69%,19,+2.96%,6,61.58%,27,+1.97%,5,24.63%,2,+7.39%,9,29.56%,16,+1.97%,6
global_mmlu_full_ar_high_school_computer_science,22.00%,3,+14.00%,15,32.00%,20,+6.00%,8,29.00%,11,+9.00%,7,46.00%,16,+4.00%,6,50.00%,16,+4.00%,5,68.00%,28,+4.00%,7,75.00%,33,+5.00%,13,26.00%,0,+3.00%,3,39.00%,17,+7.00%,1
global_mmlu_full_ar_high_school_mathematics,21.11%,3,+6.30%,13,26.67%,16,+0.37%,1,30.74%,14,-0.74%,0,30.37%,20,+4.81%,13,39.63%,23,+3.33%,5,43.33%,27,+1.11%,4,44.07%,33,+4.81%,12,29.63%,15,+1.11%,1,29.26%,1,+2.59%,8
global_mmlu_full_ar_high_school_physics,17.88%,11,+15.23%,15,25.83%,21,+1.99%,2,25.83%,10,+4.64%,6,31.79%,15,+7.95%,7,27.15%,26,+5.30%,13,41.06%,34,+5.30%,9,54.97%,22,+3.31%,4,31.79%,8,+0.66%,2,25.17%,3,+5.96%,18
global_mmlu_full_ar_high_school_statistics,15.28%,11,+28.70%,9,24.07%,9,+3.24%,7,29.63%,13,+5.56%,2,29.63%,5,+11.11%,14,41.20%,18,+10.65%,5,59.72%,34,+3.24%,4,64.81%,27,+2.31%,6,27.78%,8,+16.67%,2,29.17%,18,+6.94%,19
global_mmlu_full_ar_machine_learning,25.89%,1,+10.71%,11,25.89%,10,+9.82%,17,25.00%,6,+7.14%,9,25.89%,11,+8.93%,19,30.36%,8,+7.14%,5,39.29%,29,+3.57%,6,40.18%,29,+3.57%,4,33.04%,14,+5.36%,1,23.21%,7,+9.82%,14
global_mmlu_full_en_formal_logic,19.05%,11,+11.11%,13,38.89%,22,+0.79%,1,33.33%,12,+1.59%,3,34.92%,22,+3.97%,2,46.03%,18,+5.56%,4,62.70%,29,+2.38%,1,65.08%,24,+4.76%,2,32.54%,12,-1.59%,0,34.13%,16,+3.97%,8
global_mmlu_full_en_high_school_european_history,24.85%,8,+7.88%,8,49.09%,20,+5.45%,1,61.82%,11,+1.21%,1,76.36%,23,+1.21%,2,66.67%,22,+3.64%,8,77.58%,25,+0.61%,2,84.85%,14,+0.61%,2,52.73%,11,+2.42%,2,75.15%,27,0.00%,0
global_mmlu_full_en_high_school_us_history,24.02%,1,+4.41%,14,46.57%,18,+5.88%,7,57.84%,15,0.00%,0,73.53%,20,+3.92%,5,64.22%,24,+0.98%,7,80.39%,35,+1.96%,7,89.22%,27,+0.49%,2,46.57%,11,+1.96%,2,77.94%,16,+2.45%,7
global_mmlu_full_en_high_school_world_history,25.32%,1,+5.49%,15,52.32%,18,+1.27%,3,64.14%,15,-0.84%,0,79.32%,23,+0.84%,3,71.73%,25,+2.53%,6,82.28%,26,+1.69%,10,86.50%,7,+1.27%,7,57.38%,12,+2.11%,2,75.11%,29,+2.11%,16
global_mmlu_full_en_international_law,21.49%,9,+23.97%,14,52.07%,20,+2.48%,4,62.81%,15,-1.65%,0,73.55%,21,+0.83%,1,64.46%,23,+4.13%,7,75.21%,26,+2.48%,5,79.34%,2,+1.65%,6,50.41%,12,+2.48%,2,72.73%,28,+2.48%,4
global_mmlu_full_en_jurisprudence,25.93%,5,+2.78%,7,46.30%,22,+1.85%,5,51.85%,11,+1.85%,2,64.81%,20,0.00%,0,62.96%,18,+1.85%,3,74.07%,21,0.00%,0,80.56%,25,+1.85%,4,47.22%,11,+2.78%,1,76.85%,20,+0.93%,2
global_mmlu_full_en_logical_fallacies,34.36%,14,+1.84%,2,41.72%,20,+3.07%,4,48.47%,15,+0.61%,1,68.71%,18,+4.29%,6,68.10%,23,0.00%,0,77.91%,25,+2.45%,7,80.98%,22,+1.23%,2,39.26%,13,+1.84%,2,73.62%,26,+1.84%,5
global_mmlu_full_en_moral_disputes,26.59%,17,+2.31%,3,39.02%,20,+3.47%,8,45.09%,14,-0.29%,0,60.98%,23,+4.05%,9,56.65%,16,+2.60%,6,65.03%,30,+2.02%,11,74.57%,31,+0.58%,2,45.09%,15,-0.58%,0,69.08%,19,+1.16%,7
global_mmlu_full_en_moral_scenarios,24.13%,11,+3.13%,9,26.15%,2,+1.12%,2,39.66%,15,-1.23%,0,58.21%,17,+1.45%,1,24.25%,1,+3.02%,9,37.32%,24,+5.14%,9,41.12%,20,+2.57%,7,24.25%,6,+2.79%,3,24.80%,16,+8.38%,20
global_mmlu_full_en_philosophy,28.62%,17,+5.79%,3,41.80%,20,+2.57%,5,52.73%,15,+1.61%,2,68.17%,16,+1.29%,4,57.56%,24,+2.25%,6,69.77%,31,+2.57%,10,73.31%,2,+1.93%,6,44.37%,12,+0.96%,3,65.92%,24,+1.61%,9
global_mmlu_full_en_prehistory,28.70%,8,+3.70%,1,44.75%,20,+2.16%,7,52.47%,15,-0.93%,0,65.43%,20,+0.93%,3,60.49%,26,+4.32%,6,75.00%,31,+0.62%,3,81.79%,26,+1.85%,5,44.14%,12,+4.32%,3,68.52%,20,+0.62%,4
global_mmlu_full_en_professional_law,24.38%,8,+3.13%,9,29.92%,18,+0.85%,5,35.40%,11,-0.91%,0,45.37%,20,+0.91%,2,39.24%,26,+0.59%,2,46.54%,26,+0.72%,4,51.30%,31,+0.39%,1,31.94%,15,+0.20%,1,43.74%,20,+0.78%,8
global_mmlu_full_en_world_religions,23.39%,4,+9.36%,16,52.63%,21,+2.92%,2,66.67%,15,-4.09%,0,79.53%,22,+1.17%,2,73.10%,20,+0.58%,1,77.78%,19,+2.92%,14,83.04%,2,+2.34%,10,58.48%,11,+1.17%,2,81.87%,25,0.00%,0
global_mmlu_full_en_business_ethics,22.00%,0,+8.00%,13,41.00%,17,+3.00%,6,42.00%,12,+6.00%,3,59.00%,12,+6.00%,4,64.00%,22,+3.00%,2,73.00%,15,+1.00%,2,75.00%,22,+2.00%,3,52.00%,15,-1.00%,0,60.00%,4,+4.00%,1
global_mmlu_full_en_clinical_knowledge,25.28%,11,+3.77%,6,46.42%,22,+1.51%,4,53.58%,15,-2.26%,0,64.15%,16,+3.02%,10,59.62%,18,+4.91%,7,72.45%,32,+0.38%,2,80.75%,28,+1.89%,8,43.40%,12,+3.40%,2,63.02%,20,+1.89%,6
global_mmlu_full_en_college_medicine,19.08%,11,+13.87%,18,42.20%,23,+0.58%,1,43.35%,15,-2.89%,0,62.43%,22,+3.47%,3,57.23%,20,+1.16%,2,72.83%,33,+1.16%,3,76.88%,24,+2.31%,10,35.26%,12,+2.89%,2,50.29%,28,+1.73%,4
global_mmlu_full_en_global_facts,28.00%,16,+6.00%,6,32.00%,11,+7.00%,4,35.00%,15,-1.00%,0,33.00%,14,+7.00%,11,27.00%,6,+9.00%,11,35.00%,9,+8.00%,16,43.00%,2,+4.00%,5,26.00%,13,+11.00%,12,35.00%,20,+5.00%,15
global_mmlu_full_en_human_aging,28.25%,1,+4.04%,9,47.53%,19,+1.35%,3,55.16%,15,-0.90%,0,65.47%,23,+2.24%,1,59.64%,20,+1.35%,2,68.61%,22,+1.79%,4,74.44%,26,+0.45%,2,52.47%,13,+0.45%,2,66.82%,24,+2.69%,8
global_mmlu_full_en_management,24.27%,11,+7.77%,6,55.34%,15,+1.94%,6,60.19%,15,+3.88%,1,72.82%,16,-0.97%,0,68.93%,18,+6.80%,6,79.61%,2,+0.97%,4,88.35%,21,+1.94%,3,47.57%,12,+4.85%,4,74.76%,4,+2.91%,5
global_mmlu_full_en_marketing,26.07%,13,+6.41%,14,62.39%,24,+1.28%,3,70.09%,11,-2.14%,0,82.91%,22,+0.85%,2,78.21%,26,+2.56%,6,85.90%,21,+2.56%,3,92.74%,26,+0.43%,1,60.26%,15,+2.56%,2,82.05%,24,+0.85%,6
global_mmlu_full_en_medical_genetics,24.00%,5,+7.00%,13,42.00%,24,+4.00%,3,57.00%,14,-2.00%,0,74.00%,12,+2.00%,1,65.00%,20,+3.00%,5,75.00%,14,+4.00%,8,84.00%,21,+1.00%,1,39.00%,12,+3.00%,4,68.00%,30,+3.00%,3
